Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:02,  1.20it/s]Loading checkpoint shards:  50%|█████     | 2/4 [00:01<00:01,  1.33it/s]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:02<00:00,  1.36it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.74it/s]
Baseline Frame 0 processed. cache_patches=784 time=0.590s
Baseline Frame 1 processed. cache_patches=784 time=0.118s
Baseline Frame 2 processed. cache_patches=784 time=0.179s
Baseline Frame 3 processed. cache_patches=784 time=0.081s
Baseline Frame 4 processed. cache_patches=784 time=0.080s
Baseline Frame 5 processed. cache_patches=784 time=0.078s
Baseline Frame 6 processed. cache_patches=784 time=0.079s
Baseline Frame 7 processed. cache_patches=784 time=0.078s
Baseline Frame 8 processed. cache_patches=784 time=0.079s
Baseline Frame 9 processed. cache_patches=784 time=0.078s
Baseline Frame 10 processed. cache_patches=784 time=0.079s
Baseline Frame 11 processed. cache_patches=784 time=0.078s
Baseline Frame 12 processed. cache_patches=784 time=0.079s
Baseline Frame 13 processed. cache_patches=784 time=0.078s
Baseline Frame 14 processed. cache_patches=784 time=0.078s
Baseline Frame 15 processed. cache_patches=784 time=0.078s
Baseline Frame 16 processed. cache_patches=784 time=0.079s
Baseline Frame 17 processed. cache_patches=784 time=0.078s
Baseline Frame 18 processed. cache_patches=784 time=0.079s
Baseline Frame 19 processed. cache_patches=784 time=0.078s
Baseline Frame 20 processed. cache_patches=784 time=0.079s
Baseline Frame 21 processed. cache_patches=784 time=0.078s
Baseline Frame 22 processed. cache_patches=784 time=0.079s
Baseline Frame 23 processed. cache_patches=784 time=0.078s
Baseline Frame 24 processed. cache_patches=784 time=0.079s
Baseline Frame 25 processed. cache_patches=784 time=0.078s
Baseline Frame 26 processed. cache_patches=784 time=0.079s
Baseline Frame 27 processed. cache_patches=784 time=0.079s
Baseline Frame 28 processed. cache_patches=784 time=0.079s
Baseline Frame 29 processed. cache_patches=784 time=0.078s
Baseline Frame 30 processed. cache_patches=784 time=0.079s
Baseline Frame 31 processed. cache_patches=784 time=0.079s
Baseline Frame 32 processed. cache_patches=784 time=0.079s
Baseline Frame 33 processed. cache_patches=784 time=0.079s
Baseline Frame 34 processed. cache_patches=784 time=0.079s
Baseline Frame 35 processed. cache_patches=784 time=0.078s
