Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
`torch_dtype` is deprecated! Use `dtype` instead!
Loading processor...
Loading base LLaVA model...
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.01s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:01<00:01,  1.13it/s]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:02<00:00,  1.17it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.49it/s]
Initializing Sali-Cache optimization wrapper...
WARNING: Using U2NETP_Placeholder. Download the real model!
TODO: Would load U2Net weights from models/saliency/u2netp.pth
Model loaded successfully (Sali-Cache optimization attached).
Sali-Cache Frame 0: cache=1192 time=0.799s [pruned=0, quant=0, kept=196] (before_opt=1192, after_opt=1192)
Sali-Cache Frame 1: cache=1500 time=0.176s [pruned=193, quant=0, kept=3] (before_opt=2384, after_opt=2191)
Sali-Cache Frame 2: cache=1500 time=0.201s [pruned=138, quant=0, kept=58] (before_opt=2692, after_opt=2554)
Sali-Cache Frame 3: cache=1500 time=0.233s [pruned=82, quant=0, kept=114] (before_opt=2692, after_opt=2610)
Sali-Cache Frame 4: cache=1500 time=0.228s [pruned=90, quant=0, kept=106] (before_opt=2692, after_opt=2602)
Sali-Cache Frame 5: cache=1500 time=0.170s [pruned=193, quant=0, kept=3] (before_opt=2692, after_opt=2499)
Sali-Cache Frame 6: cache=1500 time=0.172s [pruned=190, quant=0, kept=6] (before_opt=2692, after_opt=2502)
Sali-Cache Frame 7: cache=1500 time=0.237s [pruned=75, quant=0, kept=121] (before_opt=2692, after_opt=2617)
Sali-Cache Frame 8: cache=1500 time=0.236s [pruned=77, quant=0, kept=119] (before_opt=2692, after_opt=2615)
Sali-Cache Frame 9: cache=1500 time=0.235s [pruned=80, quant=0, kept=116] (before_opt=2692, after_opt=2612)
Sali-Cache Frame 10: cache=1500 time=0.234s [pruned=79, quant=0, kept=117] (before_opt=2692, after_opt=2613)
Sali-Cache Frame 11: cache=1500 time=0.212s [pruned=118, quant=0, kept=78] (before_opt=2692, after_opt=2574)
Sali-Cache Frame 12: cache=1500 time=0.168s [pruned=194, quant=0, kept=2] (before_opt=2692, after_opt=2498)
Sali-Cache Frame 13: cache=1500 time=0.203s [pruned=136, quant=0, kept=60] (before_opt=2692, after_opt=2556)
Sali-Cache Frame 14: cache=1500 time=0.173s [pruned=188, quant=0, kept=8] (before_opt=2692, after_opt=2504)
Sali-Cache Frame 15: cache=1500 time=0.168s [pruned=195, quant=0, kept=1] (before_opt=2692, after_opt=2497)
Sali-Cache Frame 16: cache=1500 time=0.178s [pruned=179, quant=0, kept=17] (before_opt=2692, after_opt=2513)
Sali-Cache Frame 17: cache=1500 time=0.190s [pruned=158, quant=0, kept=38] (before_opt=2692, after_opt=2534)
Sali-Cache Frame 18: cache=1500 time=0.178s [pruned=178, quant=0, kept=18] (before_opt=2692, after_opt=2514)
Sali-Cache Frame 19: cache=1500 time=0.204s [pruned=133, quant=0, kept=63] (before_opt=2692, after_opt=2559)
Sali-Cache Frame 20: cache=1500 time=0.213s [pruned=121, quant=0, kept=75] (before_opt=2692, after_opt=2571)
Sali-Cache Frame 21: cache=1500 time=0.195s [pruned=149, quant=0, kept=47] (before_opt=2692, after_opt=2543)
Sali-Cache Frame 22: cache=1500 time=0.215s [pruned=112, quant=0, kept=84] (before_opt=2692, after_opt=2580)
Sali-Cache Frame 23: cache=1500 time=0.190s [pruned=159, quant=0, kept=37] (before_opt=2692, after_opt=2533)
Sali-Cache Frame 24: cache=1500 time=0.165s [pruned=196, quant=0, kept=0] (before_opt=2692, after_opt=2496)
Sali-Cache Frame 25: cache=1500 time=0.185s [pruned=167, quant=0, kept=29] (before_opt=2692, after_opt=2525)
Sali-Cache Frame 26: cache=1500 time=0.196s [pruned=147, quant=0, kept=49] (before_opt=2692, after_opt=2545)
Sali-Cache Frame 27: cache=1500 time=0.211s [pruned=121, quant=0, kept=75] (before_opt=2692, after_opt=2571)
Sali-Cache Frame 28: cache=1500 time=0.229s [pruned=90, quant=0, kept=106] (before_opt=2692, after_opt=2602)
